Year - Labels,LGA 2013 - Labels,NUMBER OF BUSINESSES - Total number of businesses (no.) (Number),BUSINESS ENTRIES - Total number of business entries (no.) (Number),BUSINESS EXITS - Total number of business exits (no.) (Number)
2009,Adelaide,14865,1689,1893
2010,Adelaide,15376,2050,1539
2011,Adelaide,15180,1375,1571
2012,Adelaide,15179,1515,1851
2013,Adelaide,14939,1350,1613
2009,Adelaide Hills,4036,492,576
2010,Adelaide Hills,4181,566,420
2011,Adelaide Hills,4077,411,518
2012,Adelaide Hills,4059,398,604
2013,Adelaide Hills,3981,343,456
2009,Alexandrina,2029,214,289
2010,Alexandrina,2074,266,221
2011,Alexandrina,2042,214,246
2012,Alexandrina,2024,194,284
2013,Alexandrina,1960,151,238
2009,Anangu Pitjantjatjara,6,0,0
2010,Anangu Pitjantjatjara,6,0,0
2011,Anangu Pitjantjatjara,6,0,0
2012,Anangu Pitjantjatjara,6,3,0
2013,Anangu Pitjantjatjara,6,0,0
2009,Barossa,2187,228,240
2010,Barossa,2261,257,182
2011,Barossa,2289,234,207
2012,Barossa,2292,197,252
2013,Barossa,2241,181,252
2009,Barunga West,289,29,28
2010,Barunga West,293,31,22
2011,Barunga West,283,23,30
2012,Barunga West,290,28,31
2013,Barunga West,291,19,28
2009,Berri and Barmera,1271,120,104
2010,Berri and Barmera,1261,102,112
2011,Berri and Barmera,1205,84,138
2012,Berri and Barmera,1186,100,119
2013,Berri and Barmera,1154,76,124
2009,Burnside,5910,769,807
2010,Burnside,6167,901,642
2011,Burnside,6264,813,716
2012,Burnside,6324,769,799
2013,Burnside,6186,575,723
2009,Campbelltown,3336,526,539
2010,Campbelltown,3483,580,433
2011,Campbelltown,3464,499,517
2012,Campbelltown,3433,478,521
2013,Campbelltown,3354,384,463
2009,Ceduna,384,33,40
2010,Ceduna,403,47,24
2011,Ceduna,412,40,32
2012,Ceduna,422,43,52
2013,Ceduna,432,40,42
2009,Charles Sturt,8072,1269,1248
2010,Charles Sturt,8307,1289,1052
2011,Charles Sturt,8379,1183,1114
2012,Charles Sturt,8359,1078,1211
2013,Charles Sturt,8095,933,1143
2009,Clare and Gilbert Valleys,1312,110,120
2010,Clare and Gilbert Valleys,1350,146,107
2011,Clare and Gilbert Valleys,1323,107,136
2012,Clare and Gilbert Valleys,1351,117,149
2013,Clare and Gilbert Valleys,1337,95,140
2009,Cleve,307,23,28
2010,Cleve,307,25,27
2011,Cleve,304,23,27
2012,Cleve,304,29,27
2013,Cleve,300,19,25
