Year - Labels,LGA 2013 - Labels,NUMBER OF BUSINESSES - Total number of businesses (no.) (Number),BUSINESS ENTRIES - Total number of business entries (no.) (Number),BUSINESS EXITS - Total number of business exits (no.) (Number),"NUMBER OF BUSINESSES BY INDUSTRY - Agriculture, Forestry and Fishing (no.) (Number)",NUMBER OF BUSINESSES BY INDUSTRY - Mining (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Manufacturing (no.) (Number),"NUMBER OF BUSINESSES BY INDUSTRY - Electricity, Gas, Water & Waste Services (no.) (Number)",NUMBER OF BUSINESSES BY INDUSTRY - Construction (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Wholesale trade (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Retail trade (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Accommodation & Food Services (no.) (Number),"NUMBER OF BUSINESSES BY INDUSTRY - Transport, Postal and Warehousing (no.) (Number)",NUMBER OF BUSINESSES BY INDUSTRY - Information Media & Telecommunications (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Financial & Insurance Services (no.) (Number),"NUMBER OF BUSINESSES BY INDUSTRY - Rental, Hiring, & Real Estate Services (no.) (Number)",NUMBER OF BUSINESSES BY INDUSTRY - Professional Scientific & Technical Services (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Administrative & Support Services (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Public Administration & Safety (no.) (Number)
2012,Adelaide,15179,1515,1851,270,78,324,28,691,329,669,766,178,127,5701,1878,1860,405,35,164,910,104,286,378,15181
2013,Adelaide,14939,1350,1613,268,78,289,26,671,325,613,743,172,130,5519,1879,1839,385,29,154,912,97,264,546,14939
2012,Adelaide Hills,4059,398,604,619,20,182,14,700,147,213,101,153,34,250,333,590,127,10,46,218,85,140,91,4072
2013,Adelaide Hills,3981,343,456,609,13,186,13,667,129,216,100,141,28,242,323,566,116,8,44,230,77,138,133,3979
2012,Alexandrina,2024,194,284,518,9,116,9,399,47,149,94,86,9,61,136,134,52,9,15,58,38,64,33,2035
2013,Alexandrina,1960,151,238,502,9,107,6,377,40,135,89,86,6,68,125,134,51,3,14,57,34,65,48,1956
2012,Anangu Pitjantjatjara,6,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9
2013,Anangu Pitjantjatjara,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Barossa,2292,197,252,623,8,210,10,327,67,119,99,100,13,111,157,170,57,6,10,68,23,93,30,2304
2013,Barossa,2241,181,252,599,5,204,7,310,70,109,96,92,7,115,152,160,51,6,13,75,21,94,50,2238
2012,Barunga West,290,28,31,147,0,7,3,21,7,13,5,18,0,10,27,5,4,0,3,5,0,7,9,291
2013,Barunga West,291,19,28,148,0,7,3,20,6,12,7,18,0,10,28,5,3,0,0,5,3,6,11,291
